"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"CART","regENN",1,0.577237540003329,0.447397878758395,0.876205998199057
0,"CART","regENN",2,0.583306762450052,0.445805333279645,0.873378064784855
0,"CART","regENN",3,0.584073170146998,0.441033467102135,0.874468899973854
0,"CART","regENN",4,0.608290304968214,0.462592706934589,0.860239983655666
0,"CART","regENN",5,0.574996752197433,0.431174717342152,0.875095346291835
0,"CART","regENN",6,0.586514496552455,0.440237751945574,0.869750290549334
0,"CART","regENN",7,0.605162074611184,0.455715812739076,0.864996778303308
0,"CART","regENN",8,0.582774486747433,0.439981139824449,0.871284897949062
0,"CART","regENN",9,0.56272770978828,0.434359229420856,0.880810169343923
0,"CART","regENN",10,0.584576112594699,0.444130711996111,0.875364654381271
0,"CART","regENN",11,0.60792829823905,0.472167231397672,0.859497135490364
0,"CART","regENN",12,0.58940476136699,0.448397872289604,0.87026369750479
0,"CART","regENN",13,0.585887718632872,0.447551300344707,0.870376554406115
0,"CART","regENN",14,0.597809838418098,0.450477836196017,0.869144401579056
0,"CART","regENN",15,0.596679010969184,0.448945453430616,0.868265148597524
0,"CART","regENN",16,0.619243114575204,0.468831024873106,0.856388629953391
0,"CART","regENN",17,0.570975158827603,0.444521214489055,0.881211800676423
0,"CART","regENN",18,0.602014421952833,0.456799917220554,0.864130565549633
0,"CART","regENN",19,0.641380525624562,0.488052026091816,0.845318323008441
0,"CART","regENN",20,0.579361237257089,0.438926035208996,0.873308629250443
0,"CART","regENN",21,0.588353057310199,0.448174237847938,0.869229456283661
0,"CART","regENN",22,0.591770810502662,0.446393064010987,0.866534900062118
0,"CART","regENN",23,0.596063835850624,0.457535704632226,0.869669068588978
0,"CART","regENN",24,0.595084935758936,0.450034544136612,0.86808124479633
0,"CART","regENN",25,0.58533454934658,0.443637930791658,0.873532486670348
0,"RF","regENN",1,0.212478346276898,0.155752074861368,0.983226649466949
0,"RF","regENN",2,0.210802659044448,0.152160408194701,0.983462605240157
0,"RF","regENN",3,0.219506049248831,0.153486172668513,0.982269956263303
0,"RF","regENN",4,0.232701243735926,0.158106238842721,0.979546927281354
0,"RF","regENN",5,0.209735246287952,0.151558316420664,0.983381543787466
0,"RF","regENN",6,0.219225026153775,0.154220814096645,0.981803011412378
0,"RF","regENN",7,0.2298872267834,0.158211930067776,0.980518140410799
0,"RF","regENN",8,0.209707069472938,0.151153170055453,0.98333310932087
0,"RF","regENN",9,0.218925634732633,0.158521156211562,0.981960028983375
0,"RF","regENN",10,0.215448476912448,0.151856869806094,0.983070429159395
0,"RF","regENN",11,0.21040524935033,0.151390268022181,0.983169632441638
0,"RF","regENN",12,0.225920312628772,0.157519276032039,0.980939038802382
0,"RF","regENN",13,0.213267700627053,0.150079943059403,0.982824675710459
0,"RF","regENN",14,0.217816429130178,0.15276334562212,0.982628094446938
0,"RF","regENN",15,0.226587658102946,0.161054369993839,0.981002709445962
0,"RF","regENN",16,0.209027581487753,0.149519140528905,0.983636596333542
0,"RF","regENN",17,0.215956737084342,0.154090363188674,0.983006908920933
0,"RF","regENN",18,0.225136940522752,0.158221797476146,0.980997904481854
0,"RF","regENN",19,0.21950038640834,0.154264414664202,0.981883349270763
0,"RF","regENN",20,0.21937573638293,0.155445106284658,0.981835420508689
0,"RF","regENN",21,0.209874018918305,0.150656366296981,0.983360079068508
0,"RF","regENN",22,0.215686395891301,0.151924206715958,0.982270105802853
0,"RF","regENN",23,0.215652202117552,0.157227523853493,0.982940364530044
